Source_Site_Code,Source_Site_City,Product Code,Product variant,Unit_Value_EUR,Source_Inventory_UoM,Source_Inventory_Value_EUR,Receiver_Site_Code,Receiver_Site_City,Receiver_Annual_Demand,Receiver_Average_Monthly_Demand,Receiver_Current_Inventory,Receiver_Target_Inventory,Receiver_MOS,Receiver_Target_Gap_UoM,Receiver_Transfer_Capacity_UoM,Potential_Receiver
WH_Germany_Frankfurt_FFM-Süd,Frankfurt,Jacket_J2_Winter,J2_Winter,12,479,5748,WH_Germany_Berlin_Charlottenburg,Berlin,1296,108.0,672,324.0,5.936728395061728,0.0,0,False
WH_Germany_Frankfurt_FFM-Süd,Frankfurt,Jacket_J2_Winter,J2_Winter,12,479,5748,WH_Germany_Hamburg_Harburg,Hamburg,1539,128.25,409,384.75,2.9064327485380117,0.0,0,False
WH_Germany_Frankfurt_FFM-Süd,Frankfurt,Jacket_J2_Winter,J2_Winter,12,479,5748,WH_Germany_Munich_Maxvorstadt,Munich,1462,121.83333333333333,667,365.5,5.460328317373461,0.0,0,False
WH_Germany_Berlin_Charlottenburg,Berlin,Pants_P1_Performance,P1_Performance,12,458,5496,WH_Germany_Frankfurt_FFM-Süd,Frankfurt,1230,102.5,411,307.5,3.946341463414634,0.0,0,False
WH_Germany_Berlin_Charlottenburg,Berlin,Pants_P1_Performance,P1_Performance,12,458,5496,WH_Germany_Munich_Maxvorstadt,Munich,1423,118.58333333333333,768,355.75,6.85874912157414,0.0,0,False
WH_Germany_Munich_Maxvorstadt,Munich,Pants_P3_Beach,P3_Beach,8,507,4056,WH_Germany_Frankfurt_FFM-Süd,Frankfurt,1037,86.41666666666667,678,259.25,6.74059787849566,0.0,0,False
WH_Germany_Munich_Maxvorstadt,Munich,Pants_P3_Beach,P3_Beach,8,507,4056,WH_Germany_Hamburg_Harburg,Hamburg,1096,91.33333333333333,853,274.0,9.91058394160584,0.0,0,False
WH_Germany_Kassel_Hub,Kassel,Shirt_TS1_Casual,TS1_Casual,10,532,5320,WH_Germany_Berlin_Charlottenburg,Berlin,1960,163.33333333333334,686,490.0,4.754081632653061,0.0,0,False
WH_Germany_Kassel_Hub,Kassel,Shirt_TS1_Casual,TS1_Casual,10,532,5320,WH_Germany_Frankfurt_FFM-Süd,Frankfurt,1829,152.41666666666666,831,457.25,5.513395297977037,0.0,0,False
WH_Germany_Kassel_Hub,Kassel,Shirt_TS1_Casual,TS1_Casual,10,532,5320,WH_Germany_Munich_Maxvorstadt,Munich,1261,105.08333333333333,588,315.25,6.060269627279937,0.0,0,False
WH_Germany_Kassel_Hub,Kassel,Shirt_TS3_Luxury,TS3_Luxury,6,601,3606,WH_Germany_Frankfurt_FFM-Süd,Frankfurt,1121,93.41666666666667,707,280.25,6.770740410347903,0.0,0,False
WH_Germany_Kassel_Hub,Kassel,Shirt_TS3_Luxury,TS3_Luxury,6,601,3606,WH_Germany_Hamburg_Harburg,Hamburg,1703,141.91666666666666,526,425.75,3.7251908396946565,0.0,0,False
WH_Germany_Kassel_Hub,Kassel,Shirt_TS3_Luxury,TS3_Luxury,6,601,3606,WH_Germany_Munich_Maxvorstadt,Munich,1264,105.33333333333333,508,316.0,4.935126582278482,0.0,0,False
WH_Germany_Hamburg_Harburg,Hamburg,Shoes_S3_Summer24,S3_Summer24,30,719,21570,WH_Germany_Berlin_Charlottenburg,Berlin,1496,124.66666666666667,733,374.0,5.758021390374331,0.0,0,False
WH_Germany_Hamburg_Harburg,Hamburg,Shoes_S3_Summer24,S3_Summer24,30,719,21570,WH_Germany_Frankfurt_FFM-Süd,Frankfurt,2968,247.33333333333334,859,742.0,3.2338274932614555,0.0,0,False
